feature,importance
Contract,0.20414019110634216
tenure,0.1489865366490078
TotalCharges,0.11822410731108904
OnlineSecurity,0.10529827264204958
MonthlyCharges,0.10347641490341342
TechSupport,0.07519469032356615
InternetService,0.0564874829921616
PaymentMethod,0.03465750341696018
OnlineBackup,0.030983344717500836
DeviceProtection,0.02002016675573647
PaperlessBilling,0.019420186936977193
Dependents,0.013413201189533971
MultipleLines,0.01265232571163957
StreamingTV,0.011781809593544551
StreamingMovies,0.011758969834750924
gender,0.010329041724594623
SeniorCitizen,0.009741501286367058
Partner,0.009105045110281025
PhoneService,0.004329207794483806
